geo_point_2d;geo_shape;schulstand;schultyp;name;vorname_k;nachname_k;funktion;strasse;hausnummer;plz;ortschaft;telefon;fax;link;email;pdf_report;geometrie
47.54950515790554, 7.565398336212891;"{""coordinates"": [7.565398336212891, 47.54950515790554], ""type"": ""Point""}";Gotthelf;Kindergarten;Reiterstrasse 2;;;Kindergarten;Reiterstrasse;2;4054;Basel;+41 61 301 56 00;;;;;2609543.412000/1266539.355000
47.57049790249711, 7.6088062108901555;"{""coordinates"": [7.608806210890156, 47.57049790249711], ""type"": ""Point""}";Schoren;Kindergarten;In den Schorenmatten 28;;;Kindergarten;In den Schorenmatten;28;4058;Basel;+41 61 681 16 20;;http://schulen.edubs.ch/ps/hirzbrunnen/kindergaerten;;;2612805.999000/1268879.657000
47.57674901059623, 7.590331635270836;"{""coordinates"": [7.590331635270836, 47.57674901059623], ""type"": ""Point""}";Insel;Kindergarten;Inselstrasse 66;;;Kindergarten;Inselstrasse;66;4057;Basel;+41 61 631 01 55;;;;;2611414.498000/1269571.876000
47.578661603090815, 7.591584945319897;"{""coordinates"": [7.591584945319897, 47.578661603090815], ""type"": ""Point""}";Insel;Kindergarten;Kleinhüningerstrasse 154;;;Kindergarten;Kleinhüningerstrasse;154;4057;Basel;+41 61 631 41 74;;;;;2611508.383000/1269784.718000
47.578698530317936, 7.589368633786232;"{""coordinates"": [7.589368633786232, 47.578698530317936], ""type"": ""Point""}";Insel;Kindergarten;Rastatterstrasse 32;;;Sekretariat;Rastatterstrasse;32;4057;Basel;+41 61 639 93 00;;;;;2611341.629000/1269788.503000
47.56917917098387, 7.565458819247;"{""coordinates"": [7.565458819247, 47.56917917098387], ""type"": ""Point""}";Isaak Iselin;Kindergarten;Gustav Wenk Strasse 42;;;Kindergarten;Gustav Wenk Strasse;42;4055;Basel;+41 61 321 49 17;;;;;2609544.453000/1268726.890000
47.563135438100076, 7.571088207010609;"{""coordinates"": [7.571088207010609, 47.563135438100076], ""type"": ""Point""}";Isaak Iselin;Kindergarten;Strassburgerallee 65;;;Kindergarten;Strassburgerallee;65;4055;Basel;+41 61 385 94 64;;;;;2609969.188000/1268055.589000
47.58084833154457, 7.590448597342714;"{""coordinates"": [7.590448597342714, 47.58084833154457], ""type"": ""Point""}";Kleinhüningen;Kindergarten;Giessliweg 61;;;Kindergarten;Giessliweg;61;4057;Basel;+41 61 631 54 64;;;;;2611422.421000/1270027.694000
47.54286402796964, 7.590098710690193;"{""coordinates"": [7.590098710690193, 47.54286402796964], ""type"": ""Point""}";Margarethen;Kindergarten;Dornacherstrasse 122;;;Kindergarten;Dornacherstrasse;122;4053;Basel;+41 61 361 38 30;;;;;2611404.206000/1265804.217000
47.54481718763837, 7.587453548473215;"{""coordinates"": [7.587453548473215, 47.54481718763837], ""type"": ""Point""}";Margarethen;Kindergarten;Gempenstrasse 25;;;Kindergarten;Gempenstrasse;25;4053;Basel;+41 61 361 13 37;;;;;2611204.651000/1266021.006000
47.54375864902869, 7.586100975598933;"{""coordinates"": [7.586100975598933, 47.54375864902869], ""type"": ""Point""}";Margarethen;Kindergarten;Gempenstrasse 48;;;Kindergarten;Gempenstrasse;48;4053;Basel;+41 61 208 54 11;;;;;2611103.044000/1265903.118000
47.54283567515757, 7.582047673231349;"{""coordinates"": [7.582047673231349, 47.54283567515757], ""type"": ""Point""}";Margarethen;Kindergarten;Gundeldingerstrasse 2;;;Kindergarten;Gundeldingerstrasse;2;4053;Basel;+41 61 271 73 66;;;;;2610798.076000/1265799.932000
47.544237853330486, 7.592998293738986;"{""coordinates"": [7.592998293738986, 47.544237853330486], ""type"": ""Point""}";Thierstein;Kindergarten;Zwingerstrasse 20;;;Kindergarten;Zwingerstrasse;20;4053;Basel;+41 61 361 06 09;;;;;2611622.207000/1265957.393000
47.54876757843545, 7.5604085387756275;"{""coordinates"": [7.560408538775627, 47.54876757843545], ""type"": ""Point""}";Neubad;Kindergarten;General Guisan Strasse 182;;;Kindergarten;General Guisan Strasse;182;4054;Basel;+41 61 301 17 55;;;;;2609167.920000/1266456.754000
47.54532997261191, 7.5603329705233575;"{""coordinates"": [7.560332970523358, 47.54532997261191], ""type"": ""Point""}";Neubad;Kindergarten;In den Ziegelhöfen 101;;;Kindergarten;In den Ziegelhöfen;101;4054;Basel;+41 61 302 10 82;;;;;2609162.820000/1266074.524000
47.5471374233396, 7.56850769561434;"{""coordinates"": [7.56850769561434, 47.5471374233396], ""type"": ""Point""}";Neubad;Kindergarten;Kaltbrunnen-Promenade 85;;;Kindergarten;Kaltbrunnen-Promenade;85;4054;Basel;+41 61 208 51 61;;;;;2609777.909000/1266276.471000
47.5503602117375, 7.58313847487095;"{""coordinates"": [7.58313847487095, 47.5503602117375], ""type"": ""Point""}";Rittergasse;Kindergarten;Birsigstrasse 46;;;Kindergarten;Birsigstrasse;46;4054;Basel;+41 61 281 56 01;;http://schulen.edubs.ch/ps/peter/kindergarten;;;2610878.667000/1266636.721000
47.55238314970432, 7.580560701552933;"{""coordinates"": [7.580560701552933, 47.55238314970432], ""type"": ""Point""}";Peter;Kindergarten;Leimenstrasse 66;;;Kindergarten;Leimenstrasse;66;4051;Basel;+41 61 281 68 84;;http://schulen.edubs.ch/ps/peter/kindergarten;;;2610684.218000/1266861.296000
47.559859885216405, 7.586224165502368;"{""coordinates"": [7.586224165502368, 47.559859885216405], ""type"": ""Point""}";Peter;Kindergarten;Petersgasse 17;;;Kindergarten;Petersgasse;17;4051;Basel;+41 61 261 13 78;;http://schulen.edubs.ch/ps/peter/kindergarten;;;2611108.970000/1267693.405000
47.54775198899809, 7.60377360891278;"{""coordinates"": [7.60377360891278, 47.54775198899809], ""type"": ""Point""}";Sevogel;Kindergarten;Engelgasse 118;;;Kindergarten;Engelgasse;118;4052;Basel;+41 61 312 79 89;;;;;2612432.605000/1266349.766000
47.56733919143574, 7.580948799458692;"{""coordinates"": [7.580948799458692, 47.56733919143574], ""type"": ""Point""}";St. Johann;Kindergarten;Elsässerstrasse 7;;;Kindergarten;Elsässerstrasse;7;4056;Basel;+41 61 322 09 41;;;;;2610710.433000/1268524.291000
47.567546562690005, 7.578484874931238;"{""coordinates"": [7.578484874931238, 47.567546562690005], ""type"": ""Point""}";St. Johann;Kindergarten;Lothringerstrasse 38;;;Kindergarten;Lothringerstrasse;38;4056;Basel;+41 61 321 06 04;;;;;2610524.977000/1268547.017000
47.5632812857266, 7.593948139746331;"{""coordinates"": [7.593948139746331, 47.5632812857266], ""type"": ""Point""}";Theodor;Kindergarten;Claragraben 96;;;Kindergarten;Claragraben;96;4058;Basel;+41 61 691 01 70;;;;;2611689.547000/1268074.942000
47.5633220035854, 7.59601720454473;"{""coordinates"": [7.59601720454473, 47.5633220035854], ""type"": ""Point""}";Theodor;Kindergarten;Drahtzugstrasse 30;;;Kindergarten;Drahtzugstrasse;30;4057;Basel;+41 61 681 01 16;;;;;2611845.251000/1268079.778000
47.565724902509444, 7.596678550601059;"{""coordinates"": [7.596678550601059, 47.565724902509444], ""type"": ""Point""}";Theodor;Kindergarten;Sperrstrasse  98;;;Kindergarten;Sperrstrasse;98;4057;Basel;+41 61 692 75 77;;;;;2611894.487000/1268347.053000
47.54056047936269, 7.599522845767578;"{""coordinates"": [7.599522845767578, 47.54056047936269], ""type"": ""Point""}";Thierstein;Kindergarten;Delsbergerallee 54;;;Kindergarten;Delsbergerallee;54;4053;Basel;+41 61 331 58 50;;;;;2612114.240000/1265549.495000
47.54074151659966, 7.601012493687892;"{""coordinates"": [7.601012493687892, 47.54074151659966], ""type"": ""Point""}";Thierstein;Kindergarten;Güterstrasse 300;;;Kindergarten;Güterstrasse;300;4053;Basel;+41 61 331 15 73;;;;;2612226.354000/1265569.854000
47.542955595869884, 7.595700823162188;"{""coordinates"": [7.595700823162188, 47.542955595869884], ""type"": ""Point""}";Thierstein;Kindergarten;Tellstrasse 22;;;Kindergarten;Tellstrasse;22;4053;Basel;+41 61 361 32 16;;;;;2611825.950000/1265815.223000
47.5660948692325, 7.601059670288213;"{""coordinates"": [7.601059670288213, 47.5660948692325], ""type"": ""Point""}";Vogelsang;Kindergarten;Bleichestrasse 21;;;Kindergarten;Bleichestrasse;21;4058;Basel;+41 61 691 14 30;;;;;2612224.100000/1268388.859000
47.56874583920977, 7.603044563647966;"{""coordinates"": [7.603044563647966, 47.56874583920977], ""type"": ""Point""}";Vogelsang;Kindergarten;Schönaustrasse 67;;;Kindergarten;Schönaustrasse;67;4058;Basel;+41 61 681 01 61;;;;;2612372.856000/1268683.927000
47.56882602794694, 7.603946527269422;"{""coordinates"": [7.603946527269422, 47.56882602794694], ""type"": ""Point""}";Erlenmatt;Kindergarten;Schönaustrasse 73;;;Kindergarten;Schönaustrasse;73;4058;Basel;+41 61 681 14 84;;http://schulen.edubs.ch/ps/erlenmatt/kindergarten/schoenaustrasse;maya.schoeb@edubs.ch;;2612440.710000/1268692.985000
47.57270324036758, 7.575793520768888;"{""coordinates"": [7.575793520768888, 47.57270324036758], ""type"": ""Point""}";Lysbüchel;Kindergarten;Elsässerstrasse 131;;;Kindergarten;Elsässerstrasse;131;4056;Basel;+41 61 321 00 25;;;;;2610321.452000/1269120.028000
47.567782828813804, 7.574673162443972;"{""coordinates"": [7.574673162443972, 47.567782828813804], ""type"": ""Point""}";Volta;Kindergarten;Im Davidsboden 4;;;Kindergarten;Im Davidsboden;4;4056;Basel;+41 61 321 10 51;;;;;2610238.094000/1268572.786000
47.569273269349694, 7.5774925209201935;"{""coordinates"": [7.577492520920194, 47.569273269349694], ""type"": ""Point""}";Volta;Kindergarten;Murbacherstrasse 27;;;Kindergarten;Murbacherstrasse;27;4056;Basel;+41 61 322 07 70;;;;;2610449.963000/1268738.876000
47.56836322881931, 7.575410754623949;"{""coordinates"": [7.575410754623949, 47.56836322881931], ""type"": ""Point""}";Volta;Kindergarten;Vogesenstrasse 105;;;Kindergarten;Vogesenstrasse;105;4056;Basel;+41 61 322 11 21;;;;;2610293.487000/1268637.416000
47.5680724027702, 7.561604826940646;"{""coordinates"": [7.561604826940646, 47.5680724027702], ""type"": ""Point""}";Wasgenring;Kindergarten;Burgfelderstrasse 231;;;Kindergarten;Burgfelderstrasse;231;4055;Basel;+41 61 321 88 34;;;;;2609254.634000/1268603.371000
47.56444993658432, 7.607233094735241;"{""coordinates"": [7.607233094735241, 47.56444993658432], ""type"": ""Point""}";Vogelsang;Kindergarten;Schwarzwaldallee 161;;;Kindergarten;Schwarzwaldallee;161;4058;Basel;+41 61 208 56 25;;;;;2612689.064000/1268206.936000
47.561738363465615, 7.563678771602197;"{""coordinates"": [7.563678771602197, 47.561738363465615], ""type"": ""Point""}";Wasgenring;Kindergarten;Blotzheimerstrasse 68;;;Kindergarten;Blotzheimerstrasse;68;4055;Basel;+41 61 321 00 69;;;;;2609411.815000/1267899.341000
47.55596480259944, 7.575914776456521;"{""coordinates"": [7.575914776456521, 47.55596480259944], ""type"": ""Point""}";Gotthelf;Kindergarten;Spalenring 123;;;Kindergarten;Spalenring;123;4054;Basel;+41 61 228 77 01;;;;;2610333.812000/1267258.916000
47.56534958086531, 7.621758322701746;"{""coordinates"": [7.621758322701746, 47.56534958086531], ""type"": ""Point""}";Hirzbrunnen;Kindergarten;Allmendstrasse 134;;;Kindergarten;Allmendstrasse;134;4058;Basel;+41 61 601 00 07;;http://schulen.edubs.ch/ps/hirzbrunnen/kindergaerten;;;2613781.942000/1268309.405000
47.57890119350993, 7.589459043843714;"{""coordinates"": [7.589459043843714, 47.57890119350993], ""type"": ""Point""}";Insel;Tagesstruktur;TS Ackermätteli;;;Leitung Tagesstruktur;Rastatterstrasse;32;4057;Basel;+41 61 208 53 03;;;marie-therese.scherer@bs.ch;Bauprojekt_Schulraum_653.pdf;2611348.388000/1269811.050000
47.56272738385092, 7.556779248952429;"{""coordinates"": [7.556779248952429, 47.56272738385092], ""type"": ""Point""}";Wasgenring;Tagesstruktur;TS Bachgraben;;;Leitung Tagesstruktur;Hegenheimermattweg;202;4123;Allschwil;+41 61 382 99 97;;;;;2608892.393000/1268008.510000
47.58429215324678, 7.5925340845891345;"{""coordinates"": [7.592534084589134, 47.58429215324678], ""type"": ""Point""}";Kleinhüningen;Tagesstruktur;TS Kleinhüningen;;;Leitung Tagesstruktur;Dorfstrasse;51;4057;Basel;+41 61 208 53 35;;;brigitta.bachofer@bs.ch;;2611578.571000/1270410.915000
47.54329805637356, 7.587010643474795;"{""coordinates"": [7.587010643474795, 47.54329805637356], ""type"": ""Point""}";Margarethen;Tagesstruktur;TS Gundeldingen;;;Leitung Tagesstruktur;Sempacherstrasse;60;4053;Basel;+41 61 208 54 48;;;nicole.fuchs@bs.ch;;2611171.625000/1265852.034000
47.569111743470806, 7.580051933832939;"{""coordinates"": [7.580051933832939, 47.569111743470806], ""type"": ""Point""}";Volta;Tagesstruktur;TS Volta;;;Leitung Tagesstruktur;Elsässerstrasse;34;4056;Basel;+41 61 322 45 93;;;rn@stadtmission-bs.ch;;2610642.589000/1268721.258000
47.56579620475397, 7.580417555167997;"{""coordinates"": [7.580417555167997, 47.56579620475397], ""type"": ""Point""}";Vogesen;Tagesstruktur;TS Vogesen;;;Leitung Tagesstruktur;St. Johannsring;17;4056;Basel;+41 79 274 29 61;;;giuseppe.mavrici@bs.ch;;2610670.764000/1268352.656000
47.56132877664028, 7.561163839469155;"{""coordinates"": [7.561163839469155, 47.56132877664028], ""type"": ""Point""}";Wasgenring;Tagesstruktur;TS Wasgenring;;;Leitung Tagesstruktur;Blotzheimerstrasse;82;4055;Basel;+41 61 385 90 42;;;;;2609222.612000/1267853.503000
47.54937416495398, 7.600034381927976;"{""coordinates"": [7.600034381927976, 47.54937416495398], ""type"": ""Point""}";St. Alban;Tagesstruktur;TS St. Alban;;;Leitung Tagesstruktur;Engelgasse;40;4052;Basel;+41 61 208 54 94;;;ali.batache@edubs.ch;;2612150.748000/1266529.550000
47.546821957312204, 7.569994381621517;"{""coordinates"": [7.569994381621517, 47.546821957312204], ""type"": ""Point""}";Neubad;Tagesstruktur;TS Neubad;;;Leitung Tagesstruktur;Marschalkenstrasse;120;4054;Basel;+41 61 208 51 28;;;moritz.kistenmacher@robi-spiel-aktionen.ch;;2609889.886000/1266241.580000
47.569576764330044, 7.587246397771751;"{""coordinates"": [7.587246397771751, 47.569576764330044], ""type"": ""Point""}";Theobald Baerwart;Tagesstruktur;TS Theobald Baerwart;;;Leitung Tagesstruktur;Offenburgerstrasse;1;4057;Basel;+41 61 208 53 74;;;marcel.rapp@bs.ch;;2611183.871000/1268773.958000
47.558569044329296, 7.596278251852139;"{""coordinates"": [7.596278251852139, 47.558569044329296], ""type"": ""Point""}";Theodor;Tagesstruktur;TS Theodor;;;Leitung Tagesstruktur;Theodorskirchplatz;7;4058;Basel;+41 61 699 33 11;;;;;2611865.953000/1267551.342000
47.56707348578204, 7.624421477330264;"{""coordinates"": [7.624421477330264, 47.56707348578204], ""type"": ""Point""}";Hirzbrunnen;Tagesstruktur;TS Hirzbrunnen;;;Leitung Tagesstruktur;Zu den drei Linden;70;4058;Basel;+41 61 208 57 55;;;d.noser@robi-spiel-aktionen.ch;;2613981.905000/1268501.553000
47.56844306378458, 7.626580060146422;"{""coordinates"": [7.626580060146422, 47.56844306378458], ""type"": ""Point""}";Drei Linden;Tagesstruktur;TS Drei Linden;;;Leitung Tagesstruktur;Zu den drei Linden;90;4058;Basel;+41 79 274 34 32;;;rolf.dobler@bs.ch;;2614143.980000/1268654.220000
47.56267618937753, 7.561264828835532;"{""coordinates"": [7.561264828835532, 47.56267618937753], ""type"": ""Point""}";Wasgenring;Primarschule;Wasgenring Nord;;;Schulleitung;Welschmattstrasse;30;4055;Basel;+41 61 385 90 43;+41 61 385 90 45;http://schulen.edubs.ch/ps/wasgenring;ps.wasgenring@bs.ch;Bauprojekt_Schulraum_667.pdf;2609229.980000/1268003.332000
47.56147153047235, 7.5616886129198795;"{""coordinates"": [7.561688612919879, 47.56147153047235], ""type"": ""Point""}";Wasgenring;Sekundarschule;Wasgenring Süd;;;Schulleitung;Welschmattstrasse;30;4055;Basel;+41 61 385 90 20;+41 61 385 90 25;http://www.sek-wasgenring.ch;sek.wasgenring@bs.ch;Bauprojekt_Schulraum_616.pdf;2609262.082000/1267869.437000
47.56986683856768, 7.5894729013626705;"{""coordinates"": [7.58947290136267, 47.56986683856768], ""type"": ""Point""}";Dreirosen;Primarschule;Dreirosen;;;Sekretariat;Breisacherstrasse;134;4057;Basel;+41 61 208 50 80;;http://schulen.edubs.ch/ps/dreirosen;ps.dreirosen@bs.ch;Bauprojekt_Schulraum_646.pdf;2611351.351000/1268806.529000
47.57891845847858, 7.589509919674975;"{""coordinates"": [7.589509919674975, 47.57891845847858], ""type"": ""Point""}";Insel;Spezialangebot;Ackermätteli;;;Sekretariat;Rastatterstrasse;32;4057;Basel;+41 79 757 28 95;+41 61 690 90 55;http://www.sek-sandgruben.ch;sek.sandgruben@bs.ch;Bauprojekt_Schulraum_3969.pdf;2611352.212000/1269812.977000
47.58430264628843, 7.5919830824312715;"{""coordinates"": [7.591983082431272, 47.58430264628843], ""type"": ""Point""}";Kleinhüningen;Primarschule;Kleinhüningen;;;Sekretariat;Dorfstrasse;51;4057;Basel;+41 61 208 53 30;;http://schulen.edubs.ch/ps/kleinhueningen;ps.kleinhueningen@bs.ch;Bauprojekt_Schulraum_652.pdf;2611537.118000/1270412.001000
47.56142234379102, 7.5948659546745105;"{""coordinates"": [7.594865954674511, 47.56142234379102], ""type"": ""Point""}";Clara;Zentrum für Brückenangebote;ZBA-Clara;;;Sekretariat;Claragraben;59;4058;Basel;+41 61 691 51 87;;;;;2611759.029000/1267868.385000
47.561182986783294, 7.596366782404545;"{""coordinates"": [7.596366782404545, 47.561182986783294], ""type"": ""Point""}";Theodor;Primarschule;Wettstein;;;Sekretariat;Hammerstrasse;27;4058;Basel;+41 61 208 56 31;;http://schulen.edubs.ch/ps/theodor;ps.theodor@bs.ch;Bauprojekt_Schulraum_639.pdf;2611872.035000/1267841.996000
47.56425690868818, 7.608122696333403;"{""coordinates"": [7.608122696333403, 47.56425690868818], ""type"": ""Point""}";Sandgruben;Sekundarschule;Sandgruben;;;Sekretariat;Schwarzwaldallee;161;4058;Basel;+41 61 208 56 00;;http://www.sek-sandgruben.ch;sek.sandgruben@bs.ch;Bauprojekt_Schulraum_671.pdf;2612756.058000/1268185.617000
47.54705822835195, 7.603557397516262;"{""coordinates"": [7.603557397516262, 47.54705822835195], ""type"": ""Point""}";Luftmatt;Gymnasium;Wirtschaftsgymnasium;;;Sekretariat;Andreas Heusler-Strasse;41;4052;Basel;+41 61 375 92 00;;;wginfo@edubs.ch;Bauprojekt_Schulraum_623.pdf;2612416.490000/1266272.594000
47.54938320264994, 7.600475922967301;"{""coordinates"": [7.600475922967301, 47.54938320264994], ""type"": ""Point""}";St. Alban;Sekundarschule;St. Alban;;;Sekretariat;Engelgasse;40;4052;Basel;+41 61 208 54 80;;http://www.sek-st-alban.ch;sek.stalban@bs.ch;Bauprojekt_Schulraum_624.pdf;2612183.984000/1266530.623000
47.55060029293621, 7.591963899214345;"{""coordinates"": [7.591963899214345, 47.55060029293621], ""type"": ""Point""}";Kirschgarten;Gymnasium;Gymnasium Kirschgarten;;;Sekretariat;Hermann Kinkelin-Strasse;10;4051;Basel;+41 61 208 57 00;;;;Bauprojekt_Schulraum_627.pdf;2611542.958000/1266664.669000
47.553272865385736, 7.587954361909143;"{""coordinates"": [7.587954361909143, 47.553272865385736], ""type"": ""Point""}";Holbein;Berufsfachschule;Berufsfachschule Basel;;;Sekretariat;Kohlenberggasse;10;4051;Basel;+41 61 267 55 00;;http://www.bfsbs.ch;bfs@edubs.ch;;2611240.575000/1266961.249000
47.556682771038396, 7.59062523144508;"{""coordinates"": [7.59062523144508, 47.556682771038396], ""type"": ""Point""}";Peter;Primarschule;Münster Primar;;;Sekretariat;Münsterplatz;18;4051;Basel;+41 61 267 81 90;;http://schulen.edubs.ch/ps/peter;ps.muensterplatz@bs.ch;Bauprojekt_Schulraum_633.pdf;2611440.886000/1267340.775000
47.55898901486446, 7.585161049982042;"{""coordinates"": [7.585161049982042, 47.55898901486446], ""type"": ""Point""}";Peter;Primarschule;Peters;;;Sekretariat;Peterskirchplatz;5;4051;Basel;+41 61 208 55 85;;http://schulen.edubs.ch/ps/peter;ps.peters@bs.ch;Bauprojekt_Schulraum_636.pdf;2611029.137000/1267596.425000
47.54312148158033, 7.586805627179578;"{""coordinates"": [7.586805627179578, 47.54312148158033], ""type"": ""Point""}";Margarethen;Primarschule;Gundeldingen;;;Sekretariat;Sempacherstrasse;60;4053;Basel;+41 61 208 54 03;;http://schulen.edubs.ch/ps/margarethen;ps.margarethen@bs.ch;Bauprojekt_Schulraum_669.pdf;2611156.227000/1265832.372000
47.53155431998666, 7.596020928365431;"{""coordinates"": [7.596020928365431, 47.53155431998666], ""type"": ""Point""}";Bruderholz;Primarschule;Bruderholz;;;Sekretariat;Fritz Hauser-Strasse;20;4059;Basel;+41 61 208 50 90;+41 61 361 95 05;http://schulen.edubs.ch/ps/bruderholz;ps.bruderholz@bs.ch;Bauprojekt_Schulraum_668.pdf;2611852.579000/1264547.589000
47.54162950824466, 7.595820461870918;"{""coordinates"": [7.595820461870918, 47.54162950824466], ""type"": ""Point""}";Thierstein;Primarschule;Thierstein;;;Sekretariat;Bärschwilerstrasse;11;4053;Basel;+41 61 208 51 80;;http://schulen.edubs.ch/ps/thierstein;ps.thierstein@bs.ch;Bauprojekt_Schulraum_621.pdf;2611835.251000/1265667.796000
47.57086612509516, 7.6098845193173;"{""coordinates"": [7.6098845193173, 47.57086612509516], ""type"": ""Point""}";Hirzbrunnen;Primarschule;Neubau Schoren;;;Sekretariat;Schorenweg;23;4058;Basel;+41 61 681 11 18;+41 61 681 41 60;http://schulen.edubs.ch/ps/schoren;ps.schoren@bs.ch;Bauprojekt_Schulraum_6623.pdf;2612887.050000/1268920.775000
47.566996919499374, 7.624310489835669;"{""coordinates"": [7.624310489835669, 47.566996919499374], ""type"": ""Point""}";Hirzbrunnen;Primarschule;Hirzbrunnen;;;Sekretariat;Zu den drei Linden;70;4058;Basel;+41 61 208 57 50;;http://schulen.edubs.ch/ps/hirzbrunnen;ps.hirzbrunnen@bs.ch;Bauprojekt_Schulraum_657.pdf;2613973.573000/1268493.020000
47.56725677613699, 7.626613300491354;"{""coordinates"": [7.626613300491354, 47.56725677613699], ""type"": ""Point""}";Bäumlihof;Sekundarschule;Sek Bäumlihof;;;Sekretariat;Zu den drei Linden;80;4058;Basel;+41 61 208 58 50;+41 61 208 58 58;http://www.sek-baeumlihof.ch;sek.baeumlihof@bs.ch;Bauprojekt_Schulraum_3971.pdf;2614146.796000/1268522.324000
47.564808259191274, 7.607397962336219;"{""coordinates"": [7.607397962336219, 47.564808259191274], ""type"": ""Point""}";Sandgruben;Spezialangebot;Sandgruben I;;;Sekretariat;Schwarzwaldallee;161;4058;Basel;+41 61 690 90 50;;http://www.sek-sandgruben.ch;christian.humm@bs.ch;Bauprojekt_Schulraum_974.pdf;2612701.386000/1268246.804000
47.561934194975045, 7.58007210646179;"{""coordinates"": [7.58007210646179, 47.561934194975045], ""type"": ""Point""}";St. Johann;Kindergarten;Maiengasse 7/11;;;Kindergarten;Maiengasse;7/11;4056;Basel;;;;;;2610645.537000/1267923.197000
47.56765719052846, 7.595226133848265;"{""coordinates"": [7.595226133848265, 47.56765719052846], ""type"": ""Point""}";Bläsi;Kindergarten;Hammerstrasse 150;;;Kindergarten;Hammerstrasse;150;4057;Basel;;;;;;2611784.760000/1268561.684000
47.56585693048146, 7.623643885178764;"{""coordinates"": [7.623643885178764, 47.56585693048146], ""type"": ""Point""}";;Spezialangebot;KIS Olsberg;Markus;Dörig;Leiter KIS-Angebote;Olsbergerweg;25-27;4058;Basel;+41 61 601 14 13;;https://www.edubs.ch/dienste/Dienste_VS/kis/die-kis-angebote;kis.olsberg@edubs.ch;;2613923.707000/1268366.148000
47.53977497064867, 7.596897072209826;"{""coordinates"": [7.596897072209826, 47.53977497064867], ""type"": ""Point""}";;Zentrum für Brückenangebote;ZBA-Gundeldingen;Ulrike;Sotriffer;Standortleiterin;Thiersteinerallee;57;4053;Basel;+41 61 208 54 54;;https://www.zba-basel.ch;ulrike.sotriffer@edubs.ch;;2611916.721000/1265461.756000
47.57232616845575, 7.607575385690203;"{""coordinates"": [7.607575385690203, 47.57232616845575], ""type"": ""Point""}";Schoren;Kindergarten;Am Bahndamm 38;;;Kindergarten;Am Bahndamm;38;4058;Basel;;;;;;2612712.947000/1269082.741000
47.56470294977511, 7.595277916226903;"{""coordinates"": [7.595277916226903, 47.56470294977511], ""type"": ""Point""}";Theodor;Kindergarten;Hammerstrasse 87;;;Kindergarten;Hammerstrasse;87;4057;Basel;;;;;;2611789.309000/1268233.213000
47.58348622584981, 7.593564646582835;"{""coordinates"": [7.593564646582835, 47.58348622584981], ""type"": ""Point""}";Kleinhüningen;Kindergarten;Kleinhüningeranlage 27;;;Kindergarten;Kleinhüningeranlage;27;4057;Basel;;;;;;2611656.274000/1270321.456000
47.56893461881654, 7.600356787447821;"{""coordinates"": [7.600356787447821, 47.56893461881654], ""type"": ""Point""}";Erlenmatt;Tagesstruktur;TS Erlenmatt;;;Tagesstruktur;Erlenmattstrasse;6;4058;Basel;;;;;;2612170.558000/1268704.499000
47.54987205636051, 7.6115479906888925;"{""coordinates"": [7.611547990688893, 47.54987205636051], ""type"": ""Point""}";Gellert;Tagesstruktur;TS Gellert;;;Tagesstruktur;Rennweg;89;4052;Basel;;;;;;2613017.341000/1266586.747000
47.55279134826932, 7.572114382412636;"{""coordinates"": [7.572114382412636, 47.55279134826932], ""type"": ""Point""}";Gotthelf;Tagesstruktur;TS Gotthelf;;;Tagesstruktur;Wielandplatz;1;4054;Basel;;;;;;2610048.360000/1266905.574000
47.57383428508798, 7.574455976488518;"{""coordinates"": [7.574455976488518, 47.57383428508798], ""type"": ""Point""}";;Zentrum für Brückenangebote;ZBA-Lysbüchel;;;;Elsässerstrasse;209;4056;Basel;+41 61 208 63 18;;;;;2610220.593000/1269245.614000
47.56370994292299, 7.573003150616674;"{""coordinates"": [7.573003150616674, 47.56370994292299], ""type"": ""Point""}";Isaak Iselin;Tagesstruktur;TS Isaak Iselin;;;Tagesstruktur;Kannenfeldstrasse;35;4056;Basel;;;;;;2610113.194000/1268119.711000
47.546642094854946, 7.602666342308972;"{""coordinates"": [7.602666342308972, 47.546642094854946], ""type"": ""Point""}";Sevogel;Tagesstruktur;TS Sevogel;;;Tagesstruktur;Andreas Heusler-Strasse;41;4052;Basel;;;;;;2612349.507000/1266226.185000
47.56069318223781, 7.59762891879258;"{""coordinates"": [7.59762891879258, 47.56069318223781], ""type"": ""Point""}";Theodor;Tagesstruktur;TS Theodor;;;Tagesstruktur;Hammerstrasse;23;4058;Basel;;;;;;2611967.134000/1267787.726000
47.56773660383944, 7.574655490272921;"{""coordinates"": [7.574655490272921, 47.56773660383944], ""type"": ""Point""}";Volta;Tagesstruktur;TS Volta;;;Tagesstruktur;Im Davidsboden;4;4056;Basel;;;;;;2610236.773000/1268567.644000
47.56323748617092, 7.559705666480058;"{""coordinates"": [7.559705666480058, 47.56323748617092], ""type"": ""Point""}";Wasgenring;Tagesstruktur;TS Wasgenring;;;Leitungs Tagesstruktur;Roggenburgstrasse;7/17;4055;Basel;;;;;;2609112.544000/1268065.561000
47.56918924501053, 7.592752571890357;"{""coordinates"": [7.592752571890357, 47.56918924501053], ""type"": ""Point""}";Bläsi;Kindergarten;Amerbachstrasse 52;;;Kindergarten;Amerbachstrasse;52;4057;Basel;+41 61 683 57 27;;;;;2611598.288000/1268731.665000
