geo_point_2d;geo_shape;id_zst;name;gemeinde;klasse;kombiniert;art;arme;fahrstreif;zweck;typ;strtyp;eigentum;betriebnah;betriebzus;link;format
47.58118600622875, 7.604501609021104;"{""coordinates"": [7.604501609021104, 47.58118600622875], ""type"": ""Point""}";671;Zoll CH-D, Freiburgerstrasse;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2000-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.543567308179355, 7.592621609906425;"{""coordinates"": [7.592621609906425, 47.543567308179355], ""type"": ""Point""}";807;Gueterstrasse 180/183;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Fuss;Infrarot;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2012-03-01T00:00:00+00:00;in Betrieb;;xlsx
47.537088014528905, 7.589978013075781;"{""coordinates"": [7.589978013075781, 47.537088014528905], ""type"": ""Point""}";808;Wolfschlucht-Promenade;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Fuss;Infrarot;Andere;Kanton Basel-Stadt;2013-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.56660500756865, 7.575976012072314;"{""coordinates"": [7.575976012072314, 47.56660500756865], ""type"": ""Point""}";811;Muelhauserstrasse 121/122;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Fuss;Infrarot;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2013-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.55501700842886, 7.59480600260272;"{""coordinates"": [7.59480600260272, 47.55501700842886], ""type"": ""Point""}";812;Wettsteinbruecke;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Fuss;Infrarot;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2013-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.5608033177112, 7.570910786007987;"{""coordinates"": [7.570910786007987, 47.5608033177112], ""type"": ""Point""}";906;Hegenheimerstrasse 44;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Velo/Moto;Induktionsschlaufen;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2011-08-31T00:00:00+00:00;in Betrieb;;xlsx
47.56200285459916, 7.625489487111113;"{""coordinates"": [7.625489487111113, 47.56200285459916], ""type"": ""Point""}";908;Grenzacherstrasse (Kraftwerk);Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Velo/Moto;Induktionsschlaufen;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2011-09-30T00:00:00+00:00;in Betrieb;;xlsx
47.549659661872795, 7.565290395849805;"{""coordinates"": [7.565290395849805, 47.549659661872795], ""type"": ""Point""}";909;General Guisan-Strasse 104;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Velo/Moto;Induktionsschlaufen;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2011-09-19T00:00:00+00:00;in Betrieb;;xlsx
47.55558754533882, 7.567337101437231;"{""coordinates"": [7.567337101437231, 47.55558754533882], ""type"": ""Point""}";910;St. Galler-Ring 101;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Velo/Moto;Induktionsschlaufen;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2011-09-21T00:00:00+00:00;in Betrieb;;xlsx
47.576784000257504, 7.572276618319382;"{""coordinates"": [7.572276618319382, 47.576784000257504], ""type"": ""Point""}";912;Elsaesserstrasse 261/260;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Velo/Moto;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2011-09-06T00:00:00+00:00;in Betrieb;;xlsx
47.579505091098916, 7.594707027049193;"{""coordinates"": [7.594707027049193, 47.579505091098916], ""type"": ""Point""}";916;Stuecki-Steg;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Velo/Moto+Fuss;Induktionsschlaufen;Andere;Kanton Basel-Stadt;2013-03-01T00:00:00+00:00;in Betrieb;;xlsx
47.57159420796467, 7.598314302445374;"{""coordinates"": [7.598314302445374, 47.57159420796467], ""type"": ""Point""}";100321;A3 Anschluss Wiese, Horburgtunnel;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;6.0;MIV;Induktionsschlaufen;Hochleistungsstrasse (HLS);BUND;2008-10-01T00:00:00+00:00;in Betrieb;https://www.astra.admin.ch/astra/de/home/dokumentation/verkehrsdaten/daten-publikationen/automatische-strassenverkehrszaehlung/monats-jahresergebnisse.html;xlsx
47.57015020900536, 7.59026540442805;"{""coordinates"": [7.59026540442805, 47.57015020900536], ""type"": ""Point""}";200805;Klybeckstrasse 170;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Plattenzaehlung;Hauptsammelstrasse (HSS);Kanton Basel-Stadt;1998-09-12T00:00:00+00:00;ausser Betrieb;;xlsx
47.57695150623095, 7.572018113432043;"{""coordinates"": [7.572018113432043, 47.57695150623095], ""type"": ""Point""}";200807;Elsaesserstrasse Zoll;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Plattenzaehlung;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;1998-09-21T00:00:00+00:00;ausser Betrieb;;xlsx
47.564852906232865, 7.6055988049503;"{""coordinates"": [7.6055988049503, 47.564852906232865], ""type"": ""Point""}";201019;Riehenstrasse 149;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Plattenzaehlung;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2010-03-08T00:00:00+00:00;ausser Betrieb;;xlsx
47.56750461434509, 7.60643520245259;"{""coordinates"": [7.60643520245259, 47.56750461434509], ""type"": ""Point""}";201020;Schwarzwaldallee (Bad. Bhf);Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;4.0;MIV;Plattenzaehlung;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2010-03-08T00:00:00+00:00;ausser Betrieb;;xlsx
47.57075691198972, 7.5779536039245015;"{""coordinates"": [7.577953603924501, 47.57075691198972], ""type"": ""Point""}";201051;Voltaplatz;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Knotenstrom;4.0;0.0;MIV+Velo/Moto;Handzaehlung;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2010-02-02T00:00:00+00:00;ausser Betrieb;;pdf
47.59526700635317, 7.655587707231372;"{""coordinates"": [7.655587707231372, 47.59526700635317], ""type"": ""Point""}";201103;Loerracherstrasse Grenze (Riehen);Riehen;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Velo+Fuss;Handzaehlung;Hauptverkehrsstrasse (HVS);Andere;2011-03-24T00:00:00+00:00;ausser Betrieb;;xlsx
47.59486381107007, 7.6571659034089725;"{""coordinates"": [7.657165903408973, 47.59486381107007], ""type"": ""Point""}";201105;Lettackerweg Grenze (Riehen);Riehen;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Velo+Fuss;Handzaehlung;Siedlungsorientierte Strasse (SOS);Andere;2011-03-22T00:00:00+00:00;ausser Betrieb;;xlsx
47.59606461100213, 7.649773513917095;"{""coordinates"": [7.649773513917095, 47.59606461100213], ""type"": ""Point""}";201107;Am Wiesengriener Grenze (Riehen);Riehen;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Velo+Fuss;Handzaehlung;Andere;Andere;2011-03-21T00:00:00+00:00;ausser Betrieb;;xlsx
47.55274980109385, 7.569033598668148;"{""coordinates"": [7.569033598668148, 47.55274980109385], ""type"": ""Point""}";201152;Wander-/Gotthelfstrasse;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Knotenstrom;4.0;0.0;MIV;Handzaehlung;Hauptsammelstrasse (HSS);Kanton Basel-Stadt;2011-06-16T00:00:00+00:00;ausser Betrieb;;pdf
47.56417321279884, 7.567359604413467;"{""coordinates"": [7.567359604413467, 47.56417321279884], ""type"": ""Point""}";201154;Ensisheimerstrasse - Lützelstrasse;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Knotenstrom;3.0;0.0;MIV;Handzaehlung;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2011-11-10T00:00:00+00:00;ausser Betrieb;;pdf
47.56140600846186, 7.565273202547623;"{""coordinates"": [7.565273202547623, 47.56140600846186], ""type"": ""Point""}";201251;Blotzheimerstrasse - Grienstrasse;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Knotenstrom;4.0;0.0;MIV;Handzaehlung;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2012-01-10T00:00:00+00:00;ausser Betrieb;;pdf
47.54564951134912, 7.591713312296182;"{""coordinates"": [7.591713312296182, 47.54564951134912], ""type"": ""Point""}";201252;Solothurner-/Hochstrasse;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Knotenstrom;2.0;0.0;MIV+Fuss;Handzaehlung;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2012-09-27T00:00:00+00:00;ausser Betrieb;;pdf
47.56318300867966, 7.577648011473756;"{""coordinates"": [7.577648011473756, 47.56318300867966], ""type"": ""Point""}";201309;Hebelstrasse 103;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2013-03-21T00:00:00+00:00;ausser Betrieb;;pdf
47.54978700763988, 7.564122011874117;"{""coordinates"": [7.564122011874117, 47.54978700763988], ""type"": ""Point""}";201313;Oberalpstrasse 48;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2013-06-04T00:00:00+00:00;ausser Betrieb;;pdf
47.54437501469365, 7.584144013802354;"{""coordinates"": [7.584144013802354, 47.54437501469365], ""type"": ""Point""}";201314;Reichensteinerstrasse 21;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2013-05-30T00:00:00+00:00;ausser Betrieb;;pdf
47.576080013939006, 7.574911010212804;"{""coordinates"": [7.574911010212804, 47.576080013939006], ""type"": ""Point""}";201909;Kohlenstrasse (vor Zoll);Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2019-11-17T00:00:00+00:00;ausser Betrieb;;pdf
47.56516201221852, 7.557677004054821;"{""coordinates"": [7.557677004054821, 47.56516201221852], ""type"": ""Point""}";201908;Hegenheimerstrasse (vor Zoll);Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Hauptsammelstrasse (HSS);Kanton Basel-Stadt;2019-11-17T00:00:00+00:00;ausser Betrieb;;pdf
47.586869007984006, 7.6508500019505865;"{""coordinates"": [7.650850001950587, 47.586869007984006], ""type"": ""Point""}";201514;Baselstrasse - Fondation Beyeler  (Riehen);Riehen;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2015-09-14T00:00:00+00:00;ausser Betrieb;;xlsx
47.58992600884942, 7.6510240111976495;"{""coordinates"": [7.65102401119765, 47.58992600884942], ""type"": ""Point""}";201526;Weilstrasse 12 (Riehen);Riehen;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2015-09-15T00:00:00+00:00;ausser Betrieb;;xlsx
47.5891060080686, 7.6569720115021775;"{""coordinates"": [7.656972011502178, 47.5891060080686], ""type"": ""Point""}";201527;Steingrubenweg 29/31 (Riehen);Riehen;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2015-09-15T00:00:00+00:00;ausser Betrieb;;xlsx
47.54790900950738, 7.598344009117627;"{""coordinates"": [7.598344009117627, 47.54790900950738], ""type"": ""Point""}";201549;St. Jakob Denkmal;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Knotenstrom;4.0;0.0;MIV;Handzaehlung;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2015-09-02T00:00:00+00:00;ausser Betrieb;;pdf
47.55983500708522, 7.603748012059821;"{""coordinates"": [7.603748012059821, 47.55983500708522], ""type"": ""Point""}";201603;Chrischonastrasse 63;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2016-03-03T00:00:00+00:00;ausser Betrieb;;pdf
47.567392011258256, 7.593530009210551;"{""coordinates"": [7.593530009210551, 47.567392011258256], ""type"": ""Point""}";201610;Moersbergerstrasse;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2016-04-14T00:00:00+00:00;ausser Betrieb;;pdf
47.54028101455855, 7.600872005153497;"{""coordinates"": [7.600872005153497, 47.54028101455855], ""type"": ""Point""}";201612;Neuensteinerstrasse 17;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2016-04-21T00:00:00+00:00;ausser Betrieb;;pdf
47.543579411078305, 7.578205510579781;"{""coordinates"": [7.578205510579781, 47.543579411078305], ""type"": ""Point""}";300601;Binningen Baslerstrasse;Binningen;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Land;2000-01-01T00:00:00+00:00;in Betrieb;https://www.baselland.ch/politik-und-behorden/direktionen/bau-und-umweltschutzdirektion/tiefbauamt/kennzahlen/verkehrserhebungen;xlsx
47.55477260624911, 7.618728901638257;"{""coordinates"": [7.618728901638257, 47.55477260624911], ""type"": ""Point""}";300701;Birsfelden Hauptstrasse;Birsfelden;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Land;2000-01-01T00:00:00+00:00;in Betrieb;https://www.baselland.ch/politik-und-behorden/direktionen/bau-und-umweltschutzdirektion/tiefbauamt/kennzahlen/verkehrserhebungen;xlsx
47.54624524770006, 7.560447177653553;"{""coordinates"": [7.560447177653553, 47.54624524770006], ""type"": ""Point""}";201709;Neuweilerstrasse 80;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2016-12-23T00:00:00+00:00;ausser Betrieb;;xlsx
47.544778597993435, 7.594381412886355;"{""coordinates"": [7.594381412886355, 47.544778597993435], ""type"": ""Point""}";201725;Hochstrasse 39;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2017-12-04T00:00:00+00:00;ausser Betrieb;;xlsx
47.550584960046955, 7.584140720477121;"{""coordinates"": [7.584140720477121, 47.550584960046955], ""type"": ""Point""}";201803;Birsigstrasse 28;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2018-06-18T00:00:00+00:00;ausser Betrieb;;xlsx
47.574614968500335, 7.563195623048023;"{""coordinates"": [7.563195623048023, 47.574614968500335], ""type"": ""Point""}";201752;Bachgraben;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Knotenstrom;4.0;4.0;MIV+Velo+Fuss;Handzaehlung;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2017-07-14T00:00:00+00:00;ausser Betrieb;;pdf
47.527233885463644, 7.59207804997255;"{""coordinates"": [7.59207804997255, 47.527233885463644], ""type"": ""Point""}";201322;Biascastrasse 15;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2013-11-28T00:00:00+00:00;ausser Betrieb;;pdf
47.565432451868276, 7.577345710423269;"{""coordinates"": [7.577345710423269, 47.565432451868276], ""type"": ""Point""}";201625;Davidsbodenstrasse 20;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2016-11-10T00:00:00+00:00;ausser Betrieb;;pdf
47.52614423314504, 7.59078593501901;"{""coordinates"": [7.59078593501901, 47.52614423314504], ""type"": ""Point""}";201323;Bedrettostrasse 6;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2013-11-21T00:00:00+00:00;ausser Betrieb;;pdf
47.56225984032084, 7.607376190911055;"{""coordinates"": [7.607376190911055, 47.56225984032084], ""type"": ""Point""}";201120;Kienbergstrasse 10;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2011-01-18T00:00:00+00:00;ausser Betrieb;;pdf
47.566432138798085, 7.596547121844523;"{""coordinates"": [7.596547121844523, 47.566432138798085], ""type"": ""Point""}";201630;Haltingerstrasse 89;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2016-11-24T00:00:00+00:00;ausser Betrieb;;pdf
47.54860961757541, 7.605112114956313;"{""coordinates"": [7.605112114956313, 47.54860961757541], ""type"": ""Point""}";201819;Grellingerstrasse 80;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2018-11-20T00:00:00+00:00;ausser Betrieb;;pdf
47.54716758911816, 7.561096217257204;"{""coordinates"": [7.561096217257204, 47.54716758911816], ""type"": ""Point""}";201734;Goeschenenstrasse 55;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Radar;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2017-06-20T00:00:00+00:00;ausser Betrieb;;pdf
47.572492683907754, 7.556962996085443;"{""coordinates"": [7.556962996085443, 47.572492683907754], ""type"": ""Point""}";201906;Burgfelderstrasse (vor Zoll);Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Radar;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2019-10-17T00:00:00+00:00;ausser Betrieb;;pdf
47.56088029017002, 7.616127592043103;"{""coordinates"": [7.616127592043103, 47.56088029017002], ""type"": ""Point""}";201911;Grenzacherstrasse-Rankstrasse;Basel;Kurzzeitzaehlstelle;Reale Zaehlstelle;Knotenstrom;4.0;2.0;MIV+Velo+Fuss;Handzaehlung;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2019-09-19T00:00:00+00:00;ausser Betrieb;;xlsx
47.57199527540263, 7.611291101677314;"{""coordinates"": [7.611291101677314, 47.57199527540263], ""type"": ""Point""}";236;Schorenweg 40;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;1.0;1.0;MIV;Induktionsschlaufen LSA;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2019-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.56641429639861, 7.5909162024036565;"{""coordinates"": [7.590916202403656, 47.56641429639861], ""type"": ""Point""}";251;Klybeckstrasse vis 76;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;1.0;1.0;MIV;Induktionsschlaufen LSA;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2019-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.556932488847835, 7.614451213331413;"{""coordinates"": [7.614451213331413, 47.556932488847835], ""type"": ""Point""}";70;Schwarzwaldbruecke A2;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;4.0;MIV+Velo/Moto;Induktionsschlaufen;Hochleistungsstrasse (HLS);Kanton Basel-Stadt;1974-01-01T00:00:00+00:00;ausser Betrieb;;xlsx
47.55695482224943, 7.614789139203051;"{""coordinates"": [7.614789139203051, 47.55695482224943], ""type"": ""Point""}";113;Schwarzwaldbruecke lokal alt;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;6.0;MIV;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;1974-01-01T00:00:00+00:00;ausser Betrieb;;xlsx
47.57494420892592, 7.564077476549633;"{""coordinates"": [7.564077476549633, 47.57494420892592], ""type"": ""Point""}";233;A3-A35, Grenze CH-F, lokal;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;4.0;MIV;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2005-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.57513852119084, 7.563157967732956;"{""coordinates"": [7.563157967732956, 47.57513852119084], ""type"": ""Point""}";235;A3-A35, Grenze CH-F;Basel;Dauerzaehlstelle;Virtuelle Zaehlstelle;Querschnitt;2.0;2.0;MIV;Induktionsschlaufen;Hochleistungsstrasse (HLS);Kanton Basel-Stadt;2006-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.54990278513927, 7.58292410405433;"{""coordinates"": [7.58292410405433, 47.54990278513927], ""type"": ""Point""}";404;Viaduktstrasse 60 (Rialto);Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2000-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.54418060766648, 7.577120393744945;"{""coordinates"": [7.577120393744945, 47.54418060766648], ""type"": ""Point""}";405;Dorenbachviadukt;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV+Velo/Moto;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2000-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.562176713617156, 7.564059111841582;"{""coordinates"": [7.564059111841582, 47.562176713617156], ""type"": ""Point""}";406;Wasgenring 62;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;4.0;MIV;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2000-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.572288843917725, 7.623986180100444;"{""coordinates"": [7.623986180100444, 47.572288843917725], ""type"": ""Point""}";407;Aeussere Baselstrasse 381 (Riehen);Riehen;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2000-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.57040322055103, 7.628571365993932;"{""coordinates"": [7.628571365993932, 47.57040322055103], ""type"": ""Point""}";408;Baeumlihofstrasse (Riehen);Riehen;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Induktionsschlaufen;Hauptsammelstrasse (HSS);Kanton Basel-Stadt;2000-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.55271160182858, 7.6045928152123485;"{""coordinates"": [7.604592815212349, 47.55271160182858], ""type"": ""Point""}";410;St. Alban-Anlage 72;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2000-09-01T00:00:00+00:00;in Betrieb;;xlsx
47.54273560620849, 7.584995701861084;"{""coordinates"": [7.584995701861084, 47.54273560620849], ""type"": ""Point""}";413;Gundeldingerstrasse 107;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;1.0;2.0;MIV;Induktionsschlaufen;Hauptsammelstrasse (HSS);Kanton Basel-Stadt;2000-09-01T00:00:00+00:00;in Betrieb;;xlsx
47.538132948256056, 7.599730133549543;"{""coordinates"": [7.599730133549543, 47.538132948256056], ""type"": ""Point""}";414;Gundeldingerstrasse 428;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;1.0;1.0;MIV;Induktionsschlaufen;Hauptsammelstrasse (HSS);Kanton Basel-Stadt;2000-09-01T00:00:00+00:00;in Betrieb;;xlsx
47.545459763143995, 7.599579329348719;"{""coordinates"": [7.599579329348719, 47.545459763143995], ""type"": ""Point""}";416;J. Burckhardt-Strasse 85;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2000-09-01T00:00:00+00:00;in Betrieb;;xlsx
47.56761298839718, 7.571017179079803;"{""coordinates"": [7.571017179079803, 47.56761298839718], ""type"": ""Point""}";653;Flughafenstrasse 30;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;MIV;Induktionsschlaufen;Hauptverkehrsstrasse (HVS);Kanton Basel-Stadt;2006-04-01T00:00:00+00:00;in Betrieb;;xlsx
47.56809406732203, 7.573804224341445;"{""coordinates"": [7.573804224341445, 47.56809406732203], ""type"": ""Point""}";651;Entenweidstrasse;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;4.0;MIV;Induktionsschlaufen;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2015-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.55332843870191, 7.5825477662074485;"{""coordinates"": [7.582547766207449, 47.55332843870191], ""type"": ""Point""}";772;Austrasse 38;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;1.0;1.0;MIV;Induktionsschlaufen LSA;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2012-01-01T00:00:00+00:00;in Betrieb;;xlsx
47.560622009051094, 7.59446400596645;"{""coordinates"": [7.59446400596645, 47.560622009051094], ""type"": ""Point""}";805;Rebgasse 11/28;Basel;Dauerzaehlstelle;Reale Zaehlstelle;Querschnitt;2.0;2.0;Fuss;Infrarot;Siedlungsorientierte Strasse (SOS);Kanton Basel-Stadt;2013-01-01T00:00:00+00:00;in Betrieb;;xlsx
